confidentiality_status,bio_data,adult_data,larval_site_data,insecticide_resistance_data,source_id,citation_doi,author,article_title,journal_title,publication_year,study_sampling_design,personal_communication,contact_authors,source_notes,country,site,latitude_1,longitude_1,latitude_2,longitude_2,latitude_3,longitude_3,latitude_4,longitude_4,latitude_5,longitude_5,latitude_6,longitude_6,latitude_7,longitude_7,latitude_8,longitude_8,confidence_in_georef,area_type,georef_source,admin_level_1,admin_level_2,site_notes,insecticide_control,control_type,itn_use,control_notes,sampling_occurrence_1,occurrence_n_1,sampling_occurrence_2,occurrence_n_2,sampling_occurrence_3,occurrence_n_3,sampling_occurrence_4,occurrence_n_4,occurrence_n_total,occurrence_notes,binary_presence,binary_absence,abundance_data_in_a_graph,month_start,month_end,year_start,year_end,season_given,season_calc,rainfall_time,season_notes,species,species_notes,species_id_1,species_id_2
NA,no,yes,no,none,1002376,10.1186/1475-2875-9-316,Choi,Simultaneous identification of the Anopheles funestus group and Anopheles longipalpis type C by PCR-RFLP,Malaria Journal,2010,na,NA,no,,south africa,Komatipoort,-25.4333,31.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,paper map,,,,na,,,,,NA,,NA,,NA,,NA,5,,yes,no,no,NA,NA,NA,NA,,NA,,,rivulorum,,morph,
NA,no,yes,no,none,1002376,10.1186/1475-2875-9-316,Choi,Simultaneous identification of the Anopheles funestus group and Anopheles longipalpis type C by PCR-RFLP,Malaria Journal,2010,na,NA,no,,south africa,Komatipoort,-25.4333,31.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,paper map,,,,na,,,,,NA,,NA,,NA,,NA,28,,yes,no,no,NA,NA,NA,NA,,NA,,,vaneedeni,,morph,
NA,yes,yes,no,none,1002301,10.1186/s12936-020-03452-w,Kakilla," Malaria vector species compositionand entomological indices following indoor residual spraying in regions bordering Lake Victoria, Tanzania",,2020,random,NA,yes,source has additianal data but with no specific anopheles species.,tanzania,bukombe,-3.52,32.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google maps,,,surveillance was conducted in regions around Lake Victoria,na,,,,cdc-lt - indoor,NA,cdc-lt,NA,HRI,NA,,NA,NA,,,,,NA,NA,2016,2017,,NA,,,arabiensis,,morph,genetic/molecular
NA,,yes,yes,both,1002372,10.1371/journal.pone.0024336,Chanda,Insecticide Resistance and the Future of Malaria Control in Zambia,PLoS ONE,2011,randomised controlled trials,NA,no,,zambia,Katete,-14.0594,32.0439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,,,,yes,combination,yes,Indoor residual spraying was carried out,larvae,NA,HRI,NA,,NA,,NA,NA,,yes,no,no,NA,NA,2009,2010,wet,NA,,,,,,
NA,no,yes,no,phenotypic,1002330,0.1371/journal.pone.0272655,Montoya,"The realized efficacy of indoor residual spraying campaigns falls quickly below the recommended WHO threshold when coverage, pace of spraying and residual efficacy on different wall types are considered",PLoS ONE,2022,na,NA,no,,mozambique,Mapulanguene,-24.4919,32.0808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,Magude,,,yes,irs,,,HRI,NA,,NA,,NA,,NA,NA,,,,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1002330,0.1371/journal.pone.0272655,Montoya,"The realized efficacy of indoor residual spraying campaigns falls quickly below the recommended WHO threshold when coverage, pace of spraying and residual efficacy on different wall types are considered",PLoS ONE,2022,na,NA,no,,mozambique,Mapulanguene,-24.4919,32.0808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,Magude,,,yes,irs,,,HRI,NA,,NA,,NA,,NA,NA,,,,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1002330,0.1371/journal.pone.0272655,Montoya,"The realized efficacy of indoor residual spraying campaigns falls quickly below the recommended WHO threshold when coverage, pace of spraying and residual efficacy on different wall types are considered",PLoS ONE,2022,na,NA,no,,mozambique,Mapulanguene,-24.4919,32.0808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,Magude,,,yes,irs,,,HRI,NA,,NA,,NA,,NA,NA,,,,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,none,1002376,10.1186/1475-2875-9-316,Choi,Simultaneous identification of the Anopheles funestus group and Anopheles longipalpis type C by PCR-RFLP,Malaria Journal,2010,na,NA,no,,south africa,Mamfene,-27.3833,32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,paper map,,,,na,,,,,NA,,NA,,NA,,NA,5,,yes,no,no,NA,NA,NA,NA,,NA,,,parensis,,morph,
NA,no,yes,no,none,1002376,10.1186/1475-2875-9-316,Choi,Simultaneous identification of the Anopheles funestus group and Anopheles longipalpis type C by PCR-RFLP,Malaria Journal,2010,na,NA,no,,south africa,Mamfene,-27.3833,32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,paper map,,,,na,,,,,NA,,NA,,NA,,NA,10,,yes,no,no,NA,NA,NA,NA,,NA,,,vaneedeni,,morph,
NA,no,yes,yes,none,1002351,,Abdel-Hamid,"MOSQUITOES (DIPTERA: CULICIDAE) IN RELATION TO THE RISK OF DISEASE TRANSMISSION IN EL ISMAILIA GOVERNORATE, EGYPT",Journal of the Egyptian Society of Parasitology,2011,na,NA,no,,egypt,El Ismailia,30.6047,32.2769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,paper map,,,,na,na,na,,larvae,1,HRI,0,,NA,,NA,1,,yes,no,no,11,3,2009,2010,,NA,,,tenebrosus,,"Trapped mosquitoes were transported
to the laboratory and sorted using morphological criteria",
NA,no,yes,yes,none,1002351,,Abdel-Hamid,"MOSQUITOES (DIPTERA: CULICIDAE) IN RELATION TO THE RISK OF DISEASE TRANSMISSION IN EL ISMAILIA GOVERNORATE, EGYPT",Journal of the Egyptian Society of Parasitology,2011,na,NA,no,,egypt,El Ismailia,30.6047,32.2769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,paper map,,,,na,na,na,,larvae,0,HRI,5,,NA,,NA,5,,yes,no,no,11,3,2009,2010,,NA,,,pharoensis,,"Trapped mosquitoes were transported
to the laboratory and sorted using morphological criteria",
NA,no,yes,yes,none,1002351,,Abdel-Hamid,"MOSQUITOES (DIPTERA: CULICIDAE) IN RELATION TO THE RISK OF DISEASE TRANSMISSION IN EL ISMAILIA GOVERNORATE, EGYPT",Journal of the Egyptian Society of Parasitology,2011,na,NA,no,,egypt,El Ismailia,30.6047,32.2769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,paper map,,,,na,na,na,,larvae,1,HRI,1,,NA,,NA,2,,yes,no,no,11,3,2009,2010,,NA,,,multicolor,,"Trapped mosquitoes were transported
to the laboratory and sorted using morphological criteria",
NA,no,yes,no,none,1002376,10.1186/1475-2875-9-316,Choi,Simultaneous identification of the Anopheles funestus group and Anopheles longipalpis type C by PCR-RFLP,Malaria Journal,2010,na,NA,no,,south africa,Ndumu,-27.0333,32.3167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,paper map,,,,na,,,,,NA,,NA,,NA,,NA,1,,yes,no,no,NA,NA,NA,NA,,NA,,,vaneedeni,,morph,
NA,no,yes,no,phenotypic,1002330,0.1371/journal.pone.0272655,Montoya,"The realized efficacy of indoor residual spraying campaigns falls quickly below the recommended WHO threshold when coverage, pace of spraying and residual efficacy on different wall types are considered",PLoS ONE,2022,na,NA,no,,mozambique,Mawandla 2,-25.0272,32.5992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,Magude,,could only find Mawandla 1,yes,irs,,,HRI,NA,,NA,,NA,,NA,NA,,,,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1002330,0.1371/journal.pone.0272655,Montoya,"The realized efficacy of indoor residual spraying campaigns falls quickly below the recommended WHO threshold when coverage, pace of spraying and residual efficacy on different wall types are considered",PLoS ONE,2022,na,NA,no,,mozambique,Mawandla 2,-25.0272,32.5992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,Magude,,,yes,irs,,,HRI,NA,,NA,,NA,,NA,NA,,,,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,yes,yes,no,none,1002301,10.1186/s12936-020-03452-w,Kakilla," Malaria vector species compositionand entomological indices following indoor residual spraying in regions bordering Lake Victoria, Tanzania",,2020,random,NA,yes,source has additianal data but with no specific anopheles species.,tanzania,sengerema,-2.64,32.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,wide area,google maps,,,surveillance was conducted in regions around Lake Victoria,na,,,,cdc-lt - indoor,NA,cdc-lt,NA,HRI,NA,,NA,NA,,,,,NA,NA,2016,2017,,NA,,,arabiensis,,morph,genetic/molecular
NA,no,yes,no,phenotypic,1002330,0.1371/journal.pone.0272655,Montoya,"The realized efficacy of indoor residual spraying campaigns falls quickly below the recommended WHO threshold when coverage, pace of spraying and residual efficacy on different wall types are considered",PLoS ONE,2022,na,NA,no,,mozambique,Chobela,-25.025,32.6494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,Magude,,,yes,irs,,,HRI,NA,,NA,,NA,,NA,NA,,,,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1002330,0.1371/journal.pone.0272655,Montoya,"The realized efficacy of indoor residual spraying campaigns falls quickly below the recommended WHO threshold when coverage, pace of spraying and residual efficacy on different wall types are considered",PLoS ONE,2022,na,NA,yes,,mozambique,Chobela,-25.025,32.6494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,Magude,,,yes,irs,,,HRI,NA,,NA,,NA,,NA,NA,,,,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1002330,0.1371/journal.pone.0272655,Montoya,"The realized efficacy of indoor residual spraying campaigns falls quickly below the recommended WHO threshold when coverage, pace of spraying and residual efficacy on different wall types are considered",PLoS ONE,2022,na,NA,no,,mozambique,Chobela,-25.025,32.6494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,Magude,,,yes,irs,,,HRI,NA,,NA,,NA,,NA,NA,,,,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1002330,0.1371/journal.pone.0272655,Montoya,"The realized efficacy of indoor residual spraying campaigns falls quickly below the recommended WHO threshold when coverage, pace of spraying and residual efficacy on different wall types are considered",PLoS ONE,2022,na,NA,no,,mozambique,Chobela,-25.025,32.6494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,Magude,,,yes,irs,,,HRI,NA,,NA,,NA,,NA,NA,,,,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1002330,0.1371/journal.pone.0272655,Montoya,"The realized efficacy of indoor residual spraying campaigns falls quickly below the recommended WHO threshold when coverage, pace of spraying and residual efficacy on different wall types are considered",PLoS ONE,2022,na,NA,no,,mozambique,Motaze,-24.7222,32.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,Magude,,,yes,irs,,,HRI,NA,,NA,,NA,,NA,NA,,,,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1002330,0.1371/journal.pone.0272655,Montoya,"The realized efficacy of indoor residual spraying campaigns falls quickly below the recommended WHO threshold when coverage, pace of spraying and residual efficacy on different wall types are considered",PLoS ONE,2022,na,NA,no,,mozambique,Motaze,-24.8072,32.8575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,Magude,,,yes,irs,,,HRI,NA,,NA,,NA,,NA,NA,,,,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1002330,0.1371/journal.pone.0272655,Montoya,"The realized efficacy of indoor residual spraying campaigns falls quickly below the recommended WHO threshold when coverage, pace of spraying and residual efficacy on different wall types are considered",PLoS ONE,2022,na,NA,no,,mozambique,Motaze,-24.8072,32.8575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,Magude,,,yes,irs,,,HRI,NA,,NA,,NA,,NA,NA,,,,,NA,NA,2018,2018,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1002330,0.1371/journal.pone.0272655,Montoya,"The realized efficacy of indoor residual spraying campaigns falls quickly below the recommended WHO threshold when coverage, pace of spraying and residual efficacy on different wall types are considered",PLoS ONE,2022,na,NA,no,,mozambique,Motaze,-24.8072,32.8575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,Magude,,,yes,irs,,,HRI,NA,,NA,,NA,,NA,NA,,,,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1002330,0.1371/journal.pone.0272655,Montoya,"The realized efficacy of indoor residual spraying campaigns falls quickly below the recommended WHO threshold when coverage, pace of spraying and residual efficacy on different wall types are considered",PLoS ONE,2022,na,NA,no,,mozambique,Motaze,-24.8072,32.8575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,Magude,,,yes,irs,,,HRI,NA,,NA,,NA,,NA,NA,,,,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1002330,0.1371/journal.pone.0272655,Montoya,"The realized efficacy of indoor residual spraying campaigns falls quickly below the recommended WHO threshold when coverage, pace of spraying and residual efficacy on different wall types are considered",PLoS ONE,2022,na,NA,no,,mozambique,Motaze,-24.8072,32.8575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,Magude,,,yes,irs,,,HRI,NA,,NA,,NA,,NA,NA,,,,,NA,NA,2017,2017,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1002330,0.1371/journal.pone.0272655,Montoya,"The realized efficacy of indoor residual spraying campaigns falls quickly below the recommended WHO threshold when coverage, pace of spraying and residual efficacy on different wall types are considered",PLoS ONE,2022,na,NA,no,,mozambique,Nhongane,-26.0925,32.9511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,Magude,,,yes,irs,,,HRI,NA,,NA,,NA,,NA,NA,,,,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1002330,0.1371/journal.pone.0272655,Montoya,"The realized efficacy of indoor residual spraying campaigns falls quickly below the recommended WHO threshold when coverage, pace of spraying and residual efficacy on different wall types are considered",PLoS ONE,2022,na,NA,no,,mozambique,Nhongane,-26.0925,32.9511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,point,google earth,Magude,,,yes,irs,,,HRI,NA,,NA,,NA,,NA,NA,,,,,NA,NA,2016,2016,,NA,,,gambiae complex,,morph,
NA,no,yes,no,phenotypic,1002329,10.1111/tmi.12248,Kabula,"Co-occurrence and distribution of East (L1014S) and West
(L1014F) African knock-down resistance in Anopheles gambiae
sensu lato population of Tanzania",Tropical Medicine and International Health,2014,na,NA,no,,tanzania,Uyui,-4.9425,33.2214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 5km,point,google earth,Tabora,,,na,,,,larvae,NA,,NA,,NA,,NA,25,,yes,no,no,6,7,2011,2011,,NA,,,gambiae_s form,,morph,genetic/molecular
NA,no,yes,no,phenotypic,1002329,10.1111/tmi.12248,Kabula,"Co-occurrence and distribution of East (L1014S) and West
(L1014F) African knock-down resistance in Anopheles gambiae
sensu lato population of Tanzania",Tropical Medicine and International Health,2014,na,NA,no,,tanzania,Uyui,-4.9425,33.2214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 5km,point,google earth,Tabora,,,na,,,,larvae,NA,,NA,,NA,,NA,0,,no,yes,no,6,7,2011,2011,,NA,,,arabiensis,,morph,genetic/molecular
NA,no,yes,no,genotypic,1002329,10.1111/tmi.12248,Kabula,"Co-occurrence and distribution of East (L1014S) and West
(L1014F) African knock-down resistance in Anopheles gambiae
sensu lato population of Tanzania",Tropical Medicine and International Health,2014,na,NA,no,,tanzania,Uyui,-4.9425,33.2214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 5km,point,google earth,Tabora,,,na,,,,larvae,NA,,NA,,NA,,NA,NA,,yes,no,no,6,7,2011,2011,,NA,,,gambiae_s form,,morph,genetic/molecular
